Unnamed: 0,Unnamed: 1,Unnamed: 2,Time (sec),Boiler Temp (C),Turbine In Temp (C),Turbine Ex Temp (C),Boiler Pres (psig),Turbine In Pres (psig),Turbine Ex Pres (psig),Fuel Flow (L/min),Generator (RPM),Voltage (Volts),Current (Amps),Power (Watts)
,,,1513.683,88.656,-135.954,21.841,62.023,2.816,2.446,4.146,442.947,1.337,0.001,0.001
,,,1514.685,-11.771,-1643.208,-2453.171,62.345,2.819,2.452,4.145,456.217,1.447,0.001,0.001
,,,1515.685,94.848,-35.596,-991.108,61.9,2.81,2.455,4.151,438.788,1.378,0.001,0.002
,,,1516.687,92.697,30.603,-4165.217,62.139,2.816,2.451,4.127,384.612,1.241,0.001,0.001
,,,1517.686,-95.058,-4503.646,-4165.562,62.315,2.815,2.439,4.128,412.722,1.19,0.002,0.002
,,,1518.686,-1862.165,-4851.952,-9458.528,62.631,2.798,2.444,4.114,389.213,1.204,0.001,0.001
,,,1519.687,-873.458,-4506.689,-3425.331,62.439,2.782,2.422,4.088,383.06,1.173,0.022,0.026
,,,1520.687,100.804,-3922.276,-8439.342,62.383,2.81,2.455,4.115,397.526,1.183,0.003,0.003
,,,1521.687,-2009.806,-7226.808,-3930.938,62.452,2.779,2.434,4.067,370.361,1.099,0.022,0.024
,,,1522.688,-1834.489,-6418.475,-6568.882,62.879,2.822,2.442,4.099,395.127,1.199,0.002,0.003
,,,1523.688,-4249.137,-6128.027,-3832.568,62.596,2.773,2.43,4.061,336.471,1.062,0.023,0.024
,,,1524.687,100.497,-4860.478,-9327.928,63.177,2.801,2.455,4.11,400.184,1.161,0.003,0.004
,,,1525.687,110.63,-3336.61,-9839.355,63.16,2.786,2.446,4.089,377.145,1.115,0.018,0.02
,,,1526.687,104.435,-6485.728,-4964.942,62.874,2.782,2.437,4.071,387.458,1.134,0.006,0.006
,,,1527.688,-2896.487,-4537.496,-6416.275,63.34,2.776,2.438,4.053,342.437,1.065,0.006,0.007
,,,1528.687,-878.243,-8434.882,-1437.151,63.645,2.805,2.451,4.112,384.696,1.206,0.003,0.004
,,,1529.687,106.18,-6865.102,-6655.31,64.249,2.813,2.457,4.089,413.693,1.089,0.003,0.003
,,,1530.688,-500.898,-3149.136,-3658.155,64.34,2.782,2.422,4.073,371.944,1.206,0.007,0.008
,,,1531.688,96.874,-6543.803,-3890.619,64.007,2.805,2.448,4.103,414.691,1.177,0.003,0.004
,,,1532.688,100.457,-4985.327,-1461.894,65.409,2.821,2.454,4.09,411.433,1.179,0.002,0.002
,,,1533.689,99.441,-557.112,-210.543,65.594,2.821,2.455,4.099,461.244,1.265,0.002,0.003
,,,1534.689,94.183,-127.636,-213.562,65.431,2.802,2.446,4.043,390.46,1.199,0.001,0.001
,,,1535.688,92.37,19.957,19.783,65.578,2.819,2.45,4.118,406.535,1.233,0.0,0.0
,,,1536.688,92.695,20.122,20.248,66.143,2.82,2.455,4.131,445.694,1.428,0.0,0.0
,,,1537.689,93.183,19.559,19.688,66.476,2.82,2.454,4.139,462.71,1.432,0.001,0.001
,,,1538.689,93.476,19.745,19.796,66.669,2.82,2.455,4.136,475.263,1.501,0.0,0.001
,,,1539.688,93.66,19.708,20.002,66.803,2.82,2.455,4.131,493.172,1.569,0.0,0.001
,,,1540.689,93.917,19.727,19.727,66.941,2.821,2.453,4.136,503.235,1.614,0.001,0.001
,,,1541.689,93.69,19.704,19.703,67.136,2.822,2.455,4.15,507.438,1.664,0.001,0.001
,,,1542.689,94.051,19.663,19.815,67.356,2.82,2.452,4.142,497.622,1.604,0.001,0.001
,,,1543.689,94.367,19.626,19.929,67.507,2.82,2.454,4.135,506.483,1.591,0.001,0.001
,,,1544.688,94.431,19.657,19.874,67.607,2.821,2.453,4.138,501.215,1.609,0.001,0.001
,,,1545.688,94.249,19.68,19.72,67.73,2.822,2.452,4.135,515.326,1.667,0.001,0.001
,,,1546.688,31.799,19.755,19.925,67.828,2.821,2.453,4.126,507.05,1.653,0.001,0.002
,,,1547.689,95.35,19.775,19.871,68.022,2.821,2.454,4.127,495.508,1.621,0.001,0.001
,,,1548.69,95.472,19.868,19.783,68.192,2.821,2.454,4.133,512.187,1.658,0.001,0.001
,,,1549.689,95.807,19.97,19.965,68.257,2.82,2.452,4.119,484.177,1.559,0.001,0.001
,,,1550.689,94.753,19.387,19.554,68.47,2.821,2.453,4.119,476.804,1.525,0.001,0.002
,,,1551.689,95.784,19.865,20.173,68.68,2.821,2.454,4.12,465.971,1.459,0.001,0.001
,,,1552.691,96.436,19.787,19.719,68.88,2.822,2.454,4.113,488.05,1.533,0.001,0.002
,,,1553.691,36.427,19.802,20.019,68.936,2.817,2.443,4.106,450.294,1.395,0.001,0.001
,,,1554.691,95.773,19.98,18.039,69.121,2.816,2.444,4.103,440.122,1.325,0.0,0.0
,,,1555.69,100.469,-949.202,-1211.579,69.483,2.82,2.45,4.101,432.391,1.21,0.001,0.001
,,,1556.69,98.117,-1907.157,-2483.701,69.443,2.819,2.446,4.117,411.581,1.253,0.001,0.001
,,,1557.691,101.633,-2194.657,-3995.712,69.092,2.825,2.449,4.12,414.344,1.171,0.001,0.001
,,,1558.69,-1137.953,-6686.443,-8942.873,69.128,2.8,2.447,4.083,413.787,1.203,0.007,0.009
,,,1559.691,-2809.661,-5541.328,-7487.174,69.446,2.797,2.443,4.093,389.742,1.152,0.008,0.009
,,,1560.691,95.629,-6515.242,-6119.718,69.516,2.816,2.438,4.084,379.414,1.096,0.007,0.008
,,,1561.691,-851.643,-7290.049,-9837.935,69.996,2.812,2.428,4.067,370.643,1.094,0.009,0.01
,,,1562.691,-1863.012,-8042.59,-10072.67,70.242,2.803,2.422,4.06,354.373,1.078,0.008,0.008
,,,1563.691,-3063.046,-7441.363,-4819.713,69.512,2.78,2.407,4.063,372.63,1.103,0.017,0.019
,,,1564.691,-70.191,-6143.212,-11248.214,69.841,2.778,2.426,4.101,382.522,1.183,0.02,0.023
,,,1565.691,-1504.918,-5916.549,-7330.789,70.119,2.799,2.422,4.073,398.332,1.241,0.02,0.024
,,,1566.691,-1841.022,-8906.875,-12633.589,70.562,2.803,2.45,4.103,396.024,1.245,0.007,0.008
,,,1567.691,-2351.741,-7853.677,-7788.204,71.282,2.82,2.44,4.075,380.791,1.072,0.01,0.011
,,,1568.691,116.343,-3940.997,-7767.166,70.615,2.786,2.436,4.099,378.985,1.234,0.014,0.017
,,,1569.691,-1212.106,-5811.724,-8056.157,71.062,2.795,2.434,4.063,357.453,1.029,0.002,0.002
,,,1570.692,-1039.203,-2353.696,-2904.436,71.056,2.779,2.433,4.07,371.128,1.133,0.015,0.017
,,,1571.694,97.83,-7131.647,-8008.421,72.402,2.811,2.441,4.088,396.269,1.078,0.002,0.002
,,,1572.694,113.481,-2527.612,-4492.194,71.464,2.796,2.435,4.097,406.128,1.262,0.002,0.003
,,,1573.694,105.386,-2907.984,-3741.851,72.73,2.815,2.447,4.087,385.989,1.119,0.002,0.002
,,,1574.693,105.364,-3819.323,-935.365,72.204,2.825,2.458,4.122,477.729,1.469,0.001,0.001
,,,1575.693,99.942,-943.156,20.64,72.642,2.807,2.439,4.074,403.217,1.125,-0.001,-0.001
,,,1576.695,107.711,-2553.62,23.347,73.067,2.824,2.459,4.107,479.25,1.509,0.001,0.001
,,,1577.695,-553.819,19.87,20.171,72.84,2.817,2.447,4.069,420.918,1.233,0.001,0.001
,,,1578.696,101.459,20.217,20.308,73.536,2.823,2.456,4.112,452.367,1.426,0.001,0.001
,,,1579.696,100.892,19.743,19.809,72.922,2.81,2.442,4.059,455.184,1.43,0.001,0.002
,,,1580.696,101.556,19.92,19.921,73.506,2.822,2.453,4.083,469.123,1.441,0.001,0.002
,,,1581.696,101.298,19.866,19.933,73.836,2.823,2.456,4.096,477.903,1.527,0.001,0.002
,,,1582.697,101.726,19.693,20.04,74.281,2.822,2.456,4.121,484.127,1.57,0.001,0.001
,,,1583.697,102.162,19.723,19.86,74.402,2.824,2.455,4.117,493.617,1.578,0.001,0.001
,,,1584.697,101.869,19.721,20.013,74.418,2.821,2.454,4.105,484.684,1.548,0.001,0.002
,,,1585.698,102.614,20.098,19.935,74.457,2.817,2.449,4.09,480.923,1.563,0.001,0.002
,,,1586.698,102.025,19.8,19.852,74.756,2.823,2.454,4.099,491.81,1.569,0.001,0.002
,,,1587.698,102.943,19.811,19.971,75.306,2.824,2.457,4.131,491.72,1.595,0.001,0.001
,,,1588.698,102.925,19.818,19.874,75.123,2.822,2.455,4.098,484.429,1.575,0.001,0.002
,,,1589.698,103.067,19.687,20.08,75.396,2.813,2.449,4.108,505.011,1.555,0.001,0.002
,,,1590.698,102.816,19.835,19.835,75.334,2.819,2.454,4.087,486.144,1.586,0.001,0.002
,,,1591.699,102.811,19.837,19.811,75.775,2.823,2.458,4.104,482.563,1.573,0.001,0.002
,,,1592.699,103.873,19.587,19.618,76.289,2.825,2.456,4.137,463.862,1.429,0.001,0.001
,,,1593.699,103.989,20.01,20.233,76.241,2.823,2.458,4.112,463.313,1.491,0.0,0.001
,,,1594.698,104.106,24.291,22.692,76.505,2.824,2.455,4.115,461.494,1.401,0.001,0.002
,,,1595.699,108.016,-940.145,-167.753,76.697,2.821,2.455,4.154,487.747,1.574,0.0,0.0
,,,1596.699,104.177,-61.685,-59.798,76.937,2.823,2.456,4.105,436.481,1.303,0.001,0.001
,,,1597.699,107.345,-942.944,-1911.716,77.054,2.828,2.46,4.122,448.982,1.357,0.001,0.001
,,,1598.699,107.555,-2347.155,-7136.171,77.227,2.822,2.451,4.1,401.66,1.296,0.001,0.002
,,,1599.7,-1507.679,-3597.951,-3442.183,76.971,2.81,2.447,4.072,410.53,1.253,0.008,0.01
,,,1600.699,-1142.629,-127.551,-1042.81,77.211,2.795,2.427,4.098,404.346,1.205,0.009,0.011
,,,1601.7,-42.433,-1799.393,-6792.771,77.782,2.816,2.441,4.088,395.275,1.17,0.001,0.001
,,,1602.7,-871.474,-10072.628,-8979.583,77.319,2.786,2.424,4.082,374.823,1.154,0.009,0.01
,,,1603.7,103.778,-6048.508,-5146.178,77.239,2.786,2.431,4.095,384.811,1.241,0.015,0.018
,,,1604.701,97.744,-7859.836,-12721.714,77.603,2.785,2.423,4.098,373.683,1.202,0.014,0.017
,,,1605.701,-1186.264,-2879.712,-11452.898,77.848,2.774,2.414,4.075,372.103,1.145,0.019,0.022
,,,1606.7,-1934.399,-4032.633,-7219.215,77.494,2.769,2.425,4.075,358.916,1.014,0.023,0.023
,,,1607.7,-621.552,-9073.762,-7928.223,77.846,2.795,2.447,4.101,399.28,1.214,0.002,0.003
,,,1608.7,-2791.314,-3527.559,-3699.23,78.211,2.783,2.419,4.066,361.543,1.158,0.026,0.031
,,,1609.7,-860.903,-5482.392,-5703.792,78.182,2.789,2.433,4.086,341.652,1.034,0.016,0.016
,,,1610.701,-1043.473,-3699.296,-3279.232,78.72,2.797,2.424,4.062,357.433,1.028,0.014,0.014
,,,1611.701,72.355,-5958.189,-9087.517,79.649,2.828,2.452,4.099,390.507,1.156,0.007,0.008
,,,1612.701,114.753,-6896.611,-4633.655,79.979,2.829,2.462,4.118,410.548,1.221,0.002,0.002
,,,1613.703,-328.983,-5985.338,-2932.336,79.853,2.805,2.435,4.069,356.528,1.112,0.004,0.004
,,,1614.702,112.988,-3423.381,-6962.535,80.853,2.818,2.452,4.12,391.445,1.11,0.002,0.002
,,,1615.702,108.198,-151.175,-2128.918,80.231,2.798,2.432,4.095,373.134,1.203,-0.001,-0.001
,,,1616.702,111.442,-6747.355,-1234.479,80.165,2.815,2.465,4.137,450.035,1.394,0.0,0.0
,,,1617.702,110.577,37.021,-1.408,81.086,2.83,2.46,4.144,446.866,1.5,0.0,0.0
,,,1618.702,106.178,23.507,21.239,81.223,2.824,2.457,4.099,422.895,1.313,0.001,0.002
,,,1619.702,109.352,19.468,19.471,81.484,2.825,2.458,4.114,461.819,1.311,0.001,0.002
,,,1620.703,109.044,19.81,19.735,81.522,2.825,2.458,4.102,443.897,1.377,0.001,0.002
,,,1621.704,109.286,19.827,20.123,81.836,2.815,2.452,4.117,466.779,1.469,0.001,0.001
,,,1622.704,109.655,19.724,20.097,82.27,2.823,2.459,4.131,486.523,1.487,0.001,0.001
,,,1623.704,109.698,19.813,19.968,82.54,2.826,2.459,4.146,492.593,1.58,0.001,0.001
,,,1624.703,110.329,19.85,20.046,82.843,2.824,2.459,4.145,499.979,1.595,0.0,0.001
,,,1625.704,110.329,19.837,19.979,82.957,2.824,2.459,4.151,500.423,1.617,0.001,0.001
,,,1626.704,110.565,19.821,20.163,83.25,2.824,2.459,4.147,507.894,1.623,0.001,0.001
,,,1627.705,110.077,20.625,20.177,83.031,2.811,2.45,4.133,494.914,1.598,0.001,0.001
,,,1628.705,111.121,19.914,19.941,83.723,2.825,2.459,4.152,504.411,1.641,0.001,0.001
,,,1629.706,110.992,19.703,20.027,83.994,2.823,2.46,4.156,504.47,1.613,0.001,0.001
,,,1630.705,111.48,20.05,20.086,84.099,2.825,2.46,4.14,483.487,1.575,0.0,0.001
,,,1631.706,111.418,19.675,19.746,84.146,2.825,2.46,4.126,485.265,1.527,0.001,0.001
,,,1632.706,111.538,19.849,19.986,84.539,2.825,2.458,4.157,472.912,1.546,0.0,0.001
,,,1633.707,112.03,19.898,20.221,84.769,2.825,2.46,4.161,496.908,1.587,0.0,0.001
,,,1634.707,112.914,19.975,19.846,84.993,2.826,2.461,4.151,487.956,1.564,0.001,0.001
,,,1635.706,113.076,20.271,20.522,85.269,2.825,2.46,4.15,488.791,1.409,0.001,0.001
,,,1636.706,112.392,-946.375,-339.956,84.947,2.821,2.45,4.149,442.743,1.426,0.0,0.0
,,,1637.707,113.944,-942.143,22.328,85.589,2.825,2.461,4.15,477.899,1.455,0.001,0.001
,,,1638.707,-504.724,-1223.092,-1470.078,85.727,2.82,2.449,4.136,422.577,1.301,0.001,0.001
,,,1639.708,116.422,-944.291,-1732.917,86.039,2.82,2.452,4.144,456.867,1.406,0.002,0.002
,,,1640.709,-860.319,-1911.064,-4413.317,86.056,2.819,2.451,4.136,415.84,1.316,0.001,0.002
,,,1641.708,-80.051,-5788.029,-7017.013,86.264,2.816,2.447,4.11,406.428,1.051,0.007,0.008
,,,1642.708,-1692.04,-5876.482,-6239.58,85.912,2.813,2.446,4.128,417.153,1.243,0.008,0.009
,,,1643.708,122.706,-4809.849,-11997.059,86.855,2.821,2.445,4.109,373.899,1.143,0.003,0.004
,,,1644.709,-867.166,-6688.927,-3339.767,85.784,2.795,2.445,4.106,393.586,1.183,0.02,0.024
,,,1645.709,-1816.295,-5368.951,-6585.154,86.258,2.794,2.433,4.104,387.998,1.159,0.008,0.01
,,,1646.709,-849.617,-7734.434,-7859.802,86.303,2.794,2.433,4.115,381.457,1.226,0.011,0.013
,,,1647.709,-2287.653,-6588.058,-5498.256,85.857,2.784,2.426,4.083,363.362,1.111,0.02,0.022
,,,1648.709,-3824.138,-5124.604,-4303.077,86.069,2.777,2.427,4.071,343.581,1.082,0.028,0.031
,,,1649.708,-1808.124,-5760.176,-9547.919,87.513,2.812,2.439,4.088,369.824,1.094,0.009,0.01
,,,1650.709,-883.066,-7229.557,-10588.745,87.192,2.786,2.421,4.093,326.64,1.072,0.022,0.023
,,,1651.709,-503.387,-6280.274,-10511.221,87.083,2.784,2.439,4.128,366.255,1.122,0.017,0.019
,,,1652.709,-507.041,-4183.429,-10268.165,88.524,2.814,2.442,4.096,367.303,1.068,0.007,0.007
,,,1653.708,-1994.034,-3945.939,-1669.082,87.742,2.791,2.43,4.105,369.88,1.222,0.006,0.007
,,,1654.709,126.851,-2099.948,-5663.73,89.121,2.801,2.438,4.111,357.148,1.043,0.008,0.008
,,,1655.709,126.65,-6702.71,-5431.481,89.363,2.819,2.458,4.129,411.835,1.134,0.001,0.002
,,,1656.709,124.213,-966.387,-3932.897,89.519,2.832,2.462,4.158,466.452,1.379,0.002,0.002
,,,1657.71,120.266,-3921.846,-1201.65,88.812,2.811,2.45,4.15,418.525,1.403,0.0,0.0
,,,1658.709,118.901,25.073,-939.056,89.674,2.82,2.466,4.156,447.281,1.479,0.0,0.0
,,,1659.71,115.859,19.57,21.801,90.387,2.824,2.46,4.135,396.876,1.227,0.0,0.0
,,,1660.709,116.932,20.017,20.445,90.662,2.826,2.461,4.154,432.295,1.409,0.0,0.0
,,,1661.71,117.316,19.76,19.773,90.816,2.827,2.462,4.136,450.39,1.373,0.001,0.001
,,,1662.709,117.548,19.897,19.841,91.031,2.826,2.46,4.142,466.782,1.486,0.001,0.001
,,,1663.71,117.582,19.742,20.08,91.272,2.827,2.461,4.147,492.825,1.53,0.001,0.001
,,,1664.711,117.996,19.857,19.846,91.443,2.826,2.462,4.146,496.952,1.599,0.001,0.001
,,,1665.712,118.202,19.792,20.026,91.623,2.826,2.462,4.144,497.005,1.61,0.001,0.001
,,,1666.711,118.452,19.994,19.981,91.841,2.827,2.461,4.147,508.257,1.676,0.001,0.001
,,,1667.711,118.404,19.776,20.079,92.109,2.825,2.462,4.158,519.605,1.679,0.001,0.001
,,,1668.713,119.132,19.864,19.888,92.309,2.827,2.462,4.157,507.737,1.684,0.001,0.001
,,,1669.712,118.761,19.798,20.064,92.58,2.827,2.461,4.166,518.166,1.725,0.001,0.001
,,,1670.712,119.193,19.878,19.91,92.594,2.826,2.461,4.14,503.511,1.695,0.001,0.001
,,,1671.712,119.42,19.933,19.907,92.845,2.828,2.463,4.148,500.208,1.64,0.001,0.001
,,,1672.712,119.128,19.753,20.032,92.952,2.827,2.463,4.14,503.245,1.657,0.001,0.001
,,,1673.713,119.471,19.872,19.942,93.209,2.826,2.461,4.142,497.105,1.63,0.001,0.001
,,,1674.712,119.694,19.795,19.868,93.616,2.827,2.46,4.147,486.809,1.512,0.001,0.001
,,,1675.712,119.135,19.335,19.696,94.009,2.827,2.462,4.153,467.564,1.386,0.001,0.001
,,,1676.712,120.537,20.201,20.055,93.727,2.827,2.463,4.118,480.414,1.573,0.001,0.002
,,,1677.713,119.957,19.563,19.977,94.333,2.823,2.459,4.124,464.318,1.445,0.001,0.001
,,,1678.714,123.312,5.403,-647.667,94.756,2.828,2.464,4.139,477.518,1.499,0.001,0.001
,,,1679.715,121.763,-948.938,23.715,94.517,2.82,2.449,4.111,445.925,1.34,0.001,0.002
,,,1680.717,121.672,9.891,-81.283,94.492,2.809,2.452,4.142,404.577,1.312,0.002,0.003
,,,1681.718,124.66,-1525.215,-937.592,94.106,2.812,2.444,4.121,415.366,1.259,0.007,0.009
,,,1682.717,-851.979,-3837.693,-5549.811,95.221,2.821,2.441,4.122,396.943,1.21,0.002,0.002
,,,1683.717,111.254,-4861.176,-4984.856,95.078,2.822,2.454,4.103,402.801,1.192,0.002,0.003
,,,1684.717,-836.495,-3273.659,-3551.611,94.8,2.829,2.454,4.129,409.798,1.186,0.007,0.008
,,,1685.717,-1339.818,-6465.252,-6119.617,95.127,2.829,2.454,4.069,380.374,1.14,0.002,0.002
,,,1686.718,-759.488,-10609.582,-10507.998,94.387,2.819,2.466,4.074,382.612,1.161,0.003,0.003
,,,1687.718,-3183.326,-5763.669,-6188.317,94.577,2.786,2.443,4.071,364.786,1.069,0.02,0.021
,,,1688.718,-2996.36,-4535.164,-6771.259,96.115,2.822,2.455,4.096,382.142,1.075,0.012,0.013
,,,1689.717,-1904.599,-4786.472,-8037.903,95.639,2.817,2.466,4.114,392.522,1.192,0.005,0.006
,,,1690.718,-1839.818,-4650.983,-3797.811,95.474,2.79,2.431,4.083,347.669,1.109,0.016,0.018
,,,1691.718,-1796.794,-4809.296,-12185.652,96.908,2.79,2.427,4.08,357.527,1.01,0.022,0.022
,,,1692.718,-2197.052,-8361.015,-2009.27,96.094,2.804,2.435,4.079,347.425,1.099,0.004,0.004
,,,1693.717,-830.957,-5621.179,-5967.887,96.492,2.803,2.46,4.128,382.573,1.17,0.007,0.008
,,,1694.717,-72.338,-2844.522,-4570.051,96.737,2.783,2.425,4.09,393.953,1.147,0.009,0.01
,,,1695.718,135.398,-2192.92,-5981.907,97.246,2.813,2.472,4.142,415.896,1.233,0.002,0.002
,,,1696.718,105.431,-2044.184,-981.954,97.459,2.793,2.437,4.1,378.147,1.149,0.004,0.004
,,,1697.717,132.495,-4628.886,-3427.678,98.237,2.836,2.468,4.161,456.587,1.338,0.001,0.001
,,,1698.718,127.403,-1914.37,-2160.683,97.889,2.815,2.448,4.117,410.931,1.355,-0.001,-0.001
,,,1699.717,133.317,-1420.512,-1285.072,99.598,2.829,2.465,4.142,496.263,1.394,0.002,0.003
,,,1700.718,126.28,-518.219,20.454,99.916,2.829,2.465,4.142,467.064,1.372,0.002,0.002
,,,1701.718,125.85,20.588,20.329,99.786,2.828,2.465,4.118,489.32,1.492,0.001,0.002
,,,1702.717,124.886,19.659,19.768,100.161,2.826,2.462,4.108,428.742,1.325,0.001,0.001
,,,1703.717,124.966,19.996,20.293,100.344,2.826,2.464,4.11,459.756,1.4,0.0,0.001
,,,1704.717,125.426,19.953,19.976,100.937,2.828,2.464,4.133,475.746,1.512,0.001,0.001
,,,1705.718,125.512,20.014,20.047,100.644,2.829,2.465,4.11,483.247,1.559,0.001,0.002
,,,1706.718,125.861,19.949,20.148,101.091,2.828,2.465,4.113,490.775,1.574,0.001,0.001
,,,1707.718,126.022,19.9,20.236,101.381,2.826,2.465,4.115,495.371,1.576,0.001,0.001
,,,1708.718,120.744,19.978,19.982,101.27,2.828,2.464,4.094,488.795,1.59,0.001,0.002
,,,1709.718,124.837,20.024,19.984,101.573,2.827,2.462,4.097,492.578,1.609,0.001,0.002
,,,1710.718,126.73,19.986,20.171,102.112,2.828,2.464,4.111,498.041,1.608,0.001,0.001
,,,1711.718,126.671,20.15,20.17,102.032,2.828,2.464,4.096,499.253,1.635,0.001,0.002
,,,1712.718,127.043,20.093,20.143,102.438,2.827,2.465,4.107,495.725,1.605,0.001,0.001
,,,1713.717,127.146,19.926,20.174,103.377,2.827,2.464,4.15,504.678,1.624,0.001,0.001
,,,1714.718,127.075,19.893,20.015,103.482,2.827,2.465,4.14,492.497,1.632,0.001,0.001
,,,1715.718,126.987,19.828,20.058,103.343,2.828,2.467,4.126,502.046,1.602,0.001,0.002
,,,1716.718,127.977,20.179,20.169,93.54,2.965,2.472,4.141,496.882,1.603,0.001,0.001
,,,1717.718,127.412,19.479,19.816,87.464,3.162,2.486,4.153,471.885,1.44,0.001,0.001
,,,1718.718,128.756,-30.541,20.498,67.356,2.808,2.46,4.16,504.167,1.619,0.001,0.001
,,,1719.717,128.059,30.797,20.353,81.445,3.173,2.453,4.138,454.128,1.397,0.001,0.001
,,,1720.717,129.001,-925.019,25.195,84.687,2.873,2.448,4.135,447.369,1.372,0.001,0.001
,,,1721.718,131.775,-3830.144,-945.889,84.266,2.901,2.459,4.16,467.408,1.497,0.001,0.002
,,,1722.718,136.073,-1543.392,-2810.381,83.647,2.898,2.439,4.117,405.543,1.243,0.001,0.001
,,,1723.718,133.951,-1893.798,-3451.663,83.805,2.943,2.454,4.134,400.078,1.297,0.0,0.0
,,,1724.719,-826.057,-3263.421,-5092.024,82.948,3.011,2.454,4.129,402.487,1.279,0.005,0.007
,,,1725.719,-3451.12,-4572.444,-4129.001,82.584,3.121,2.479,4.079,381.15,1.196,0.015,0.018
,,,1726.719,-831.44,-2774.643,-1572.153,82.641,3.218,2.538,4.12,416.664,1.265,0.005,0.006
,,,1727.72,-2210.955,-8061.157,-8005.493,81.594,3.182,2.446,4.099,370.811,1.171,0.016,0.019
,,,1728.72,-2059.841,-6946.825,-8714.162,82.394,3.219,2.498,4.094,382.656,1.177,0.013,0.015
,,,1729.721,-4844.691,-3516.525,-3401.461,81.839,3.214,2.465,4.076,357.545,1.19,0.022,0.027
,,,1730.723,2.367,-3405.703,-7698.096,81.818,3.255,2.439,4.105,388.351,1.21,0.015,0.018
,,,1731.722,-3199.129,-5407.58,-5765.286,82.038,3.328,2.482,4.078,353.875,1.126,0.018,0.02
,,,1732.723,-1806.166,-8771.153,-5635.346,81.652,3.491,2.607,4.089,392.239,1.259,0.004,0.005
,,,1733.724,-1362.326,-8269.477,-8482.537,81.497,3.406,2.471,4.069,360.649,1.162,0.002,0.002
,,,1734.725,144.32,-5980.016,-12767.37,81.51,3.404,2.431,4.121,392.266,1.239,0.008,0.01
,,,1735.726,-172.157,-5416.959,-8316.771,82.608,3.404,2.475,4.091,396.889,1.118,0.006,0.006
,,,1736.726,-1477.091,-3891.013,-2517.141,82.001,3.451,2.364,4.074,370.653,1.175,0.009,0.01
,,,1737.727,140.833,-1149.75,-2203.561,81.823,3.461,2.429,4.139,433.84,1.345,0.004,0.006
,,,1738.726,135.325,-1433.181,79.538,82.637,3.537,2.456,4.087,352.498,1.03,0.0,0.0
,,,1739.727,134.129,-862.69,-880.448,82.927,3.547,2.432,4.084,377.235,1.196,0.0,-0.001
,,,1740.727,133.774,-867.465,38.974,83.269,3.65,2.475,4.109,418.788,1.224,0.001,0.002
,,,1741.727,138.029,-4759.37,87.937,83.132,3.658,2.478,4.14,475.319,1.484,0.001,0.001
,,,1742.728,133.268,94.555,86.607,83.178,3.673,2.475,4.109,440.692,1.267,0.001,0.001
,,,1743.729,133.108,95.36,88.206,83.414,3.669,2.477,4.118,421.244,1.335,0.0,0.0
,,,1744.729,133.356,95.198,87.45,83.337,3.68,2.468,4.106,444.481,1.346,0.001,0.001
,,,1745.729,134.016,96.207,87.511,83.186,3.708,2.489,4.092,469.314,1.524,0.001,0.002
,,,1746.729,133.241,95.971,87.573,82.439,3.691,2.448,4.047,482.68,1.543,0.002,0.003
,,,1747.729,134.364,95.503,88.765,83.769,3.748,2.495,4.104,480.517,1.564,0.001,0.002
,,,1748.729,135.518,95.551,88.884,84.155,3.788,2.535,4.122,479.649,1.603,0.001,0.001
,,,1749.729,134.565,95.509,88.74,84.024,3.831,2.531,4.11,491.293,1.527,0.001,0.002
,,,1750.728,135.17,95.62,88.617,84.131,3.866,2.518,4.114,488.993,1.567,0.001,0.001
,,,1751.729,135.001,95.709,89.161,83.98,3.996,2.56,4.104,488.285,1.562,0.001,0.002
,,,1752.729,135.414,96.089,89.782,83.956,4.086,2.573,4.095,476.954,1.521,0.001,0.002
,,,1753.729,135.845,96.325,89.984,84.198,4.161,2.573,4.106,492.456,1.571,0.001,0.002
,,,1754.73,122.057,96.383,90.108,84.75,4.226,2.581,4.146,494.143,1.575,0.0,0.001
,,,1755.731,136.685,96.597,89.864,84.445,4.226,2.587,4.113,490.859,1.591,0.001,0.001
,,,1756.731,136.582,98.968,90.714,83.02,4.205,2.565,4.029,454.494,1.433,0.001,0.002
,,,1757.731,135.702,96.878,90.776,84.11,4.178,2.578,4.073,464.774,1.462,0.001,0.002
,,,1758.731,135.943,97.228,91.184,83.665,4.123,2.563,4.038,465.606,1.495,0.002,0.002
,,,1759.731,135.143,101.305,-875.466,83.599,4.133,2.574,4.034,429.986,1.362,0.002,0.002
,,,1760.731,137.927,-1632.492,93.188,84.327,4.246,2.601,4.062,458.44,1.494,0.002,0.002
,,,1761.731,136.939,-847.487,-870.22,84.914,4.279,2.611,4.081,413.295,1.25,0.001,0.001
,,,1762.732,139.935,-864.978,-3572.159,85.426,4.251,2.612,4.07,437.099,1.255,0.002,0.002
,,,1763.733,139.768,-1133.429,-875.94,85.596,4.32,2.646,4.121,425.408,1.371,0.0,0.001
,,,1764.733,-227.699,-2335.538,-3960.838,85.378,4.343,2.631,4.072,400.797,1.251,0.002,0.002
,,,1765.734,-876.291,-4455.901,-4422.457,85.44,4.351,2.626,4.078,385.335,1.169,0.001,0.001
,,,1766.733,140.312,-2330.593,-594.391,84.687,4.336,2.618,4.05,396.639,1.15,0.007,0.008
