iteration	p=g(p)	absolute err
253	-1.69033	1.13386
254	0.857229	2.54756
255	-1.26516	2.12239
256	-0.399375	0.865783
257	-1.8405	1.44112
258	1.38744	3.22794
259	-0.0750144	1.46245
260	-1.99437	1.91936
261	1.97752	3.9719
262	1.9106	0.0669255
263	1.65038	0.260215
264	0.723764	0.926619
265	-1.47617	2.19993
266	0.179065	1.65523
267	-1.96794	2.147
268	1.87277	3.84071
269	1.50727	0.365502
270	0.271859	1.23541
271	-1.92609	2.19795
272	1.70983	3.63593
273	0.923529	0.786304
274	-1.14709	2.07062
275	-0.684176	0.462917
276	-1.5319	0.847726
277	0.346725	1.87863
278	-1.87978	2.22651
279	1.53358	3.41336
280	0.351863	1.18172
281	-1.87619	2.22806
282	1.5201	3.39629
283	0.310701	1.2094
284	-1.90347	2.21417
285	1.62318	3.52664
286	0.634712	0.988467
287	-1.59714	2.23185
288	0.550858	2.148
289	-1.69656	2.24741
290	0.878302	2.57486
291	-1.22859	2.10689
292	-0.490578	0.738008
293	-1.75933	1.26876
294	1.09525	2.85459
295	-0.800418	1.89567
296	-1.35933	0.558914
297	-0.152218	1.20711
298	-1.97683	1.82461
299	1.90786	3.88469
300	1.63991	0.267943
301	0.689313	0.950599
302	-1.52485	2.21416
303	0.325158	1.85001
304	-1.89427	2.21943
305	1.58827	3.48254
306	0.522592	1.06568
307	-1.7269	2.24949
308	0.982177	2.70907
309	-1.03533	2.01751
310	-0.928093	0.107236
311	-1.13864	0.210549
312	-0.703493	0.435149
313	-1.5051	0.801604
314	0.265318	1.77042
315	-1.92961	2.19492
316	1.72338	3.65299
317	0.970041	0.75334
318	-1.05902	2.02906
319	-0.878474	0.180547
320	-1.22828	0.349809
321	-0.49132	0.736964
322	-1.7586	1.26728
323	1.09269	2.8513
324	-0.806027	1.89872
325	-1.35032	0.544293
326	-0.176635	1.17369
327	-1.9688	1.79217
328	1.87617	3.84497
329	1.52003	0.356146
330	0.310485	1.20954
331	-1.9036	2.21408
332	1.62369	3.52729
333	0.63637	0.98732
334	-1.59503	2.2314
335	0.544132	2.13917
336	-1.70392	2.24805
337	0.903344	2.60726
338	-1.18397	2.08731
339	-0.598215	0.585756
340	-1.64214	1.04392
341	0.696622	2.33876
342	-1.51472	2.21134
343	0.29437	1.80909
344	-1.91335	2.20772
345	1.66089	3.57424
346	0.758566	0.902327
347	-1.42458	2.18314
348	0.0294211	1.454
349	-1.99913	2.02856
350	1.99654	3.99567
351	1.98617	0.0103729
352	1.94485	0.041312
353	1.78246	0.162398
354	1.17715	0.605309
355	-0.614326	1.79147
356	-1.6226	1.00828
357	0.632843	2.25545
358	-1.59951	2.23235
359	0.558429	2.15794
360	-1.68816	2.24659
361	0.849872	2.53803
362	-1.27772	2.12759
363	-0.367439	0.910278
364	-1.86499	1.49755
365	1.47818	3.34317
366	0.18502	1.29316
367	-1.96577	2.15079
368	1.86424	3.83001
369	1.4754	0.388844
370	0.176798	1.2986
371	-1.96874	2.14554
372	1.87595	3.84469
373	1.51918	0.356771
374	0.307894	1.21128
375	-1.9052	2.2131
376	1.62979	3.53499
377	0.656225	0.973568
378	-1.56937	2.22559
379	0.462919	2.03229
380	-1.78571	2.24862
381	1.18875	2.97445
382	-0.58688	1.77563
383	-1.65557	1.06869
384	0.74092	2.39649
385	-1.45104	2.19196
386	0.105512	1.55655
387	-1.98887	2.09438
388	1.95559	3.94446
389	1.82434	0.131249
390	1.32823	0.496112
391	-0.235798	1.56403
392	-1.9444	1.7086
393	1.78069	3.72509
394	1.17085	0.609838
395	-0.62911	1.79996
396	-1.60422	0.97511
397	0.573523	2.17774
398	-1.67107	2.24459
399	0.792479	2.46355
400	-1.37198	2.16446
401	-0.11768	1.2543
402	-1.98615	1.86847
403	1.9448	3.93095
404	1.78224	0.162561
405	1.17636	0.605872
406	-0.616168	1.79253
407	-1.62034	1.00417
408	0.62549	2.24583
409	-1.60876	2.23425
410	0.588115	2.19688
411	-1.65412	2.24224
412	0.736118	2.39024
413	-1.45813	2.19425
414	0.126146	1.58428
415	-1.98409	2.11023
416	1.9366	3.92069
417	1.75043	0.186174
418	1.064	0.68643
419	-0.86791	1.93191
420	-1.24673	0.378823
421	-0.445658	0.801075
422	-1.80139	1.35573
423	1.245	3.04639
424	-0.449968	1.69497
425	-1.79753	1.34756
426	1.23111	3.02864
427	-0.48437	1.71548
428	-1.76539	1.28102
429	1.11659	2.88197
430	-0.753236	1.86982
431	-1.43264	0.6794
432	0.0524452	1.48508
433	-1.99725	2.04969
434	1.98901	3.98626
435	1.95614	0.0328624
436	1.8265	0.129647
437	1.33609	0.490409
438	-0.214871	1.55096
439	-1.95383	1.73896
440	1.81745	3.77128
441	1.30314	0.514316
442	-0.301832	1.60497
443	-1.9089	1.60707
444	1.64389	3.55279
445	0.702373	0.941516
446	-1.50667	2.20904
447	0.27006	1.77673
448	-1.92707	2.19713
449	1.71359	3.64066
450	0.936389	0.7772
451	-1.12317	2.05956
452	-0.738478	0.384696
453	-1.45465	0.716171
454	0.116006	1.57066
455	-1.98654	2.10255
456	1.94635	3.93289
457	1.78829	0.158066
458	1.19797	0.590319
459	-0.564874	1.76284
460	-1.68092	1.11604
461	0.825484	2.5064
462	-1.31858	2.14406
463	-0.261355	1.05722
464	-1.93169	1.67034
465	1.73144	3.66313
466	0.997883	0.733557
467	-1.00423	2.00211
468	-0.991524	0.0127058
469	-1.01688	0.0253577
470	-0.965953	0.0509287
471	-1.06694	0.100983
472	-0.861648	0.205288
473	-1.25756	0.395915
474	-0.418536	0.839026
475	-1.82483	1.40629
476	1.33	3.15482
477	-0.231113	1.56111
478	-1.94659	1.71547
479	1.7892	3.73579
480	1.20124	0.587963
481	-0.557028	1.75827
482	-1.68972	1.13269
483	0.855153	2.54487
484	-1.26871	2.12387
485	-0.390365	0.878349
486	-1.84762	1.45725
487	1.41368	3.2613
488	-0.00150323	1.41519
489	-2	1.99849
490	1.99999	3.99999
491	1.99996	2.71797e-05
