0|1|2|3
184|1.84|0.00873451|0.467904
185|1.85|0.0134135|0.449756
186|1.86|0.0179111|0.430331
187|1.87|0.0222144|0.409741
188|1.88|0.0263118|0.388098
189|1.89|0.0301928|0.365518
190|1.9|0.033848|0.342116
191|1.91|0.0372691|0.318005
192|1.92|0.0404492|0.293301
193|1.93|0.0433822|0.268118
194|1.94|0.0460634|0.242569
195|1.95|0.0484891|0.216763
196|1.96|0.0506567|0.19081
197|1.97|0.0525648|0.164817
198|1.98|0.054213|0.138888
199|1.99|0.0556018|0.113122
200|2|0.0567331|0.0876175
201|2.01|0.0576092|0.0624676
202|2.02|0.0582339|0.0377619
203|2.03|0.0586115|0.0135858
204|2.04|0.0587474|-0.00997995
205|2.05|0.0586476|-0.032859
206|2.06|0.058319|-0.0549798
207|2.07|0.0577692|-0.076276
208|2.08|0.0570065|-0.0966861
209|2.09|0.0560396|-0.116154
210|2.1|0.0548781|-0.134628
211|2.11|0.0535318|-0.152064
212|2.12|0.0520111|-0.16842
213|2.13|0.0503269|-0.183662
214|2.14|0.0484903|-0.197761
215|2.15|0.0465127|-0.210691
216|2.16|0.0444058|-0.222434
217|2.17|0.0421814|-0.232977
218|2.18|0.0398517|-0.24231
219|2.19|0.0374286|-0.250431
220|2.2|0.0349243|-0.25734
221|2.21|0.0323509|-0.263043
222|2.22|0.0297204|-0.26755
223|2.23|0.0270449|-0.270878
224|2.24|0.0243362|-0.273045
225|2.25|0.0216057|-0.274075
226|2.26|0.018865|-0.273994
227|2.27|0.016125|-0.272834
228|2.28|0.0133967|-0.270628
229|2.29|0.0106904|-0.267415
230|2.3|0.00801624|-0.263235
231|2.31|0.00538389|-0.258129
232|2.32|0.0028026|-0.252146
233|2.33|0.000281144|-0.245331
234|2.34|-0.00217216|-0.237734
235|2.35|-0.0045495|-0.229408
236|2.36|-0.00684359|-0.220405
237|2.37|-0.00904764|-0.210779
238|2.38|-0.0111554|-0.200585
239|2.39|-0.0131613|-0.18988
240|2.4|-0.0150601|-0.178719
241|2.41|-0.0168473|-0.167159
242|2.42|-0.0185188|-0.155256
243|2.43|-0.0200714|-0.143068
244|2.44|-0.0215021|-0.130649
245|2.45|-0.0228086|-0.118056
246|2.46|-0.0239891|-0.105343
247|2.47|-0.0250426|-0.0925627
248|2.48|-0.0259682|-0.0797684
249|2.49|-0.0267659|-0.0670105
250|2.5|-0.027436|-0.0543386
251|2.51|-0.0279794|-0.0418002
252|2.52|-0.0283974|-0.0294412
253|2.53|-0.0286918|-0.0173055
254|2.54|-0.0288648|-0.00543473
255|2.55|-0.0289192|0.00613139
256|2.56|-0.0288579|0.0173556
257|2.57|-0.0286843|0.028203
258|2.58|-0.0284023|0.0386411
259|2.59|-0.0280159|0.0486399
260|2.6|-0.0275295|0.0581721
261|2.61|-0.0269478|0.0672127
262|2.62|-0.0262756|0.0757397
263|2.63|-0.0255182|0.0837335
264|2.64|-0.0246809|0.0911771
265|2.65|-0.0237691|0.0980563
266|2.66|-0.0227886|0.104359
267|2.67|-0.021745|0.110077
268|2.68|-0.0206442|0.115204
269|2.69|-0.0194922|0.119735
270|2.7|-0.0182948|0.123668
271|2.71|-0.0170581|0.127006
