1,0.001,1.997,-2.995
2,0.002,1.99401,-2.99001
3,0.003,1.99101,-2.98503
4,0.004,1.98803,-2.98005
5,0.005,1.98505,-2.97509
6,0.006,1.98207,-2.97013
7,0.007,1.9791,-2.96519
8,0.008,1.97614,-2.96025
9,0.009,1.97318,-2.95532
10,0.01,1.97022,-2.9504
11,0.011,1.96727,-2.94549
12,0.012,1.96433,-2.94059
13,0.013,1.96139,-2.9357
14,0.014,1.95845,-2.93081
15,0.015,1.95552,-2.92594
16,0.016,1.95259,-2.92107
17,0.017,1.94967,-2.91621
18,0.018,1.94676,-2.91136
19,0.019,1.94385,-2.90652
20,0.02,1.94094,-2.90169
21,0.021,1.93804,-2.89687
22,0.022,1.93514,-2.89205
23,0.023,1.93225,-2.88725
24,0.024,1.92936,-2.88245
25,0.025,1.92648,-2.87766
26,0.026,1.9236,-2.87288
27,0.027,1.92073,-2.86811
28,0.028,1.91786,-2.86335
29,0.029,1.915,-2.85859
30,0.03,1.91214,-2.85385
31,0.031,1.90929,-2.84911
32,0.032,1.90644,-2.84438
33,0.033,1.90359,-2.83966
34,0.034,1.90075,-2.83495
35,0.035,1.89792,-2.83025
36,0.036,1.89509,-2.82555
37,0.037,1.89226,-2.82086
38,0.038,1.88944,-2.81619
39,0.039,1.88662,-2.81152
40,0.04,1.88381,-2.80686
41,0.041,1.88101,-2.8022
42,0.042,1.8782,-2.79756
43,0.043,1.87541,-2.79292
44,0.044,1.87261,-2.78829
45,0.045,1.86982,-2.78367
46,0.046,1.86704,-2.77906
47,0.047,1.86426,-2.77446
48,0.048,1.86149,-2.76986
49,0.049,1.85872,-2.76528
50,0.05,1.85595,-2.7607
51,0.051,1.85319,-2.75613
52,0.052,1.85044,-2.75157
53,0.053,1.84768,-2.74701
54,0.054,1.84494,-2.74247
55,0.055,1.84219,-2.73793
56,0.056,1.83946,-2.7334
57,0.057,1.83672,-2.72888
58,0.058,1.83399,-2.72437
59,0.059,1.83127,-2.71986
60,0.06,1.82855,-2.71536
61,0.061,1.82583,-2.71088
62,0.062,1.82312,-2.70639
63,0.063,1.82042,-2.70192
64,0.064,1.81772,-2.69746
65,0.065,1.81502,-2.693
66,0.066,1.81233,-2.68855
67,0.067,1.80964,-2.68411
68,0.068,1.80695,-2.67968
69,0.069,1.80427,-2.67525
70,0.07,1.8016,-2.67083
71,0.071,1.79893,-2.66642
72,0.072,1.79626,-2.66202
73,0.073,1.7936,-2.65763
74,0.074,1.79094,-2.65324
75,0.075,1.78829,-2.64887
76,0.076,1.78564,-2.6445
77,0.077,1.78299,-2.64013
78,0.078,1.78035,-2.63578
79,0.079,1.77772,-2.63143
80,0.08,1.77509,-2.62709
81,0.081,1.77246,-2.62276
82,0.082,1.76984,-2.61844
83,0.083,1.76722,-2.61412
84,0.084,1.7646,-2.60982
85,0.085,1.76199,-2.60552
86,0.086,1.75939,-2.60122
87,0.087,1.75679,-2.59694
88,0.088,1.75419,-2.59266
89,0.089,1.7516,-2.58839
90,0.09,1.74901,-2.58413
91,0.091,1.74643,-2.57988
92,0.092,1.74385,-2.57563
93,0.093,1.74127,-2.57139
94,0.094,1.7387,-2.56716
95,0.095,1.73613,-2.56293
96,0.096,1.73357,-2.55872
97,0.097,1.73101,-2.55451
98,0.098,1.72846,-2.55031
99,0.099,1.72591,-2.54611
100,0.1,1.72336,-2.54193
101,0.101,1.72082,-2.53775
102,0.102,1.71828,-2.53358
103,0.103,1.71575,-2.52941
104,0.104,1.71322,-2.52525
105,0.105,1.71069,-2.5211
106,0.106,1.70817,-2.51696
107,0.107,1.70565,-2.51283
108,0.108,1.70314,-2.5087
109,0.109,1.70063,-2.50458
110,0.11,1.69813,-2.50047
111,0.111,1.69563,-2.49636
112,0.112,1.69313,-2.49227
113,0.113,1.69064,-2.48818
114,0.114,1.68815,-2.48409
115,0.115,1.68567,-2.48002
116,0.116,1.68319,-2.47595
117,0.117,1.68071,-2.47189
118,0.118,1.67824,-2.46783
119,0.119,1.67577,-2.46378
120,0.12,1.67331,-2.45974
